"
source_name",home,chain_base,title,published_date,text
Arab Times (U),http://www.arabtimesonline.com/news,http://www.arabtimesonline.com/news/,#the-post span,.tie-date,p
New York Post (U),http://nypost.com,http://nypost.com/,#article-wrapper .postId-,.byline_date,p
Los Angeles Times (U),http://www.latimes.com,,,,p
Borneo Bulletin (U),http://borneobulletin.com.bn,,,,
The Brunei Times (C),http://www.bt.com.bn,,,,
CBC (U),http://www.alexa.com/siteinfo/cbc.ca,,,,
Toronto Star (U),http://www.thestar.com,,.article__headline,.artilce__published-date,.article-story-body
The Globe and Mail (UP),http://www.theglobeandmail.com,,,,
Metro (U),http://metro.co.uk,,.clear,.post-date,p
Evening Standard (U),http://www.standard.co.uk,,,,
Financial Times (P),http://www.ft.com,,,,
The Jordan Times (U),http://www.jordantimes.com,,,,
The Star (U),http://www.star.com.jo,,,,
Pacific News Center (U embedded),http://www.pacificnewscenter.com,,.entry-title,.td-module-date,p
manila bulletin (U),http://mb.com.ph,,#tim-content .uk-margin-bottom-remove,.published_date,p
the philippine star (P),http://thephilippinestar.ph,,#page-title,.article-date-info,p
the denver post (Unrel),http://www.denverpost.com,,.optimizely-2747651,.time,.body-copy
chicago tribune (U),http://www.chicagotribune.com,,.trb_ar_hl_t,.trb_ar_dateline_time,p
daily news (U),http://www.nydailynews.com,,#ra-headline,#ra-date-published,p
the star (embedded),http://www.thestar.com.my,,.headline,,p
BBC (EU),http://www.bbc.com,,.story-body__h1,,p
the daily star (bangladesh),http://www.dailystar.co.uk,,h1,.small-text,p
